record_id,scientific_name,family,genus,species,common_name,year,year_normalized,day_of_year,month,season,decade,latitude,longitude,location_grid,region,prefecture,temperature_avg,temperature_min,temperature_max,precipitation,deviation_from_baseline,trait,is_prediction,bloom_date,temp_avg_7d,temp_max_7d,temp_min_7d,precip_total_7d,precip_avg_7d,humidity_avg_7d,solar_avg_7d,gdd_7d,temp_avg_14d,temp_max_14d,temp_min_14d,precip_total_14d,precip_avg_14d,humidity_avg_14d,solar_avg_14d,gdd_14d,temp_avg_30d,temp_max_30d,temp_min_30d,precip_total_30d,precip_avg_30d,humidity_avg_30d,solar_avg_30d,gdd_30d,temp_avg_90d,temp_max_90d,temp_min_90d,precip_total_90d,precip_avg_90d,humidity_avg_90d,solar_avg_90d,gdd_90d,temp_variance_90d,temp_range_90d,frost_days_90d,soil_ph_0-5cm,soil_ph_5-15cm,soil_clay_0-5cm,soil_clay_5-15cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_organic_carbon_0-5cm,soil_organic_carbon_5-15cm,ndvi_mean_5d,ndvi_mean_10d,elevation_m,photoperiod_at_bloom,photoperiod_30d_before,photoperiod_change_rate,bloom_day_of_year
jma_sakura_naze_2023,Prunus campanulata,Rosaceae,Prunus,campanulata,Taiwan Cherry,2023,0.9722222222222222,20.0,1.0,Winter,2020,28.442638,129.529388,28.4_129.5,Japan,,,,,,-34.857142857142854,first flowering (kaika),False,2023-01-20,18.72,22.78,15.2,23.7,3.39,76.77,5.89,96.06,18.38,22.78,15.2,29.04,2.07,72.78,8.19,187.37,17.5,22.78,13.25,76.88,2.56,73.33,7.5,375.04,20.4,26.5,12.52,405.93,4.51,75.8,8.54,1386.04,9.8,13.98,0,5.7,5.6,28,30,43,43,2.8,2.4,0.1169588394223497,0.1169588394223497,15.0,10.46,10.19,0.009,20.0
npn_11972140,Symphyotrichum ericoides,Asteraceae,Symphyotrichum,ericoides,White Heath Aster,2017,0.8888888888888888,264.0,9.0,Fall,2010,36.440838,-84.323586,36.4_-84.3,North America,,,,,,,open flower present,False,2017-09-21,20.64,28.74,13.9,6.46,0.92,78.38,17.01,109.47,17.89,28.74,7.66,22.43,1.6,78.54,16.21,180.51,18.73,30.9,7.66,116.43,3.88,78.56,16.55,411.93,21.82,33.94,7.66,404.42,4.49,77.58,20.12,1513.64,10.17,26.28,0,5.1,5.1,17,18,39,38,1.2,1.0,0.40351053542031184,0.40743290978240554,390.0,11.98,13.14,-0.0387,264.0
npn_24414367,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2017,0.8888888888888888,267.0,9.0,Fall,2010,39.077858,-76.77179,39.1_-76.8,North America,,,,,,,open flower present,False,2017-09-24,23.4,30.57,17.27,0.63,0.09,68.55,15.54,128.77,21.96,30.57,10.32,4.24,0.3,69.91,16.0,237.38,20.8,30.57,10.32,69.35,2.31,71.42,16.2,473.97,23.89,36.41,10.32,353.43,3.93,69.79,19.57,1700.31,10.77,26.09,0,5.5,5.4,14,15,42,42,2.0,1.0,0.8443912187174523,0.8443912187174523,40.0,11.85,13.13,-0.0427,267.0
swc_9236,Prunus avium,Rosaceae,Prunus,avium,Sweet Cherry,2013,0.8333333333333334,97.0,4.0,Spring,2010,42.76,2.98,42.8_3.0,France,France,,,,,3.129107981220656,beginning of flowering,False,2013-04-07,9.41,14.92,5.2,30.75,4.39,81.13,11.82,30.84,10.3,15.7,5.2,56.46,4.03,82.63,11.92,74.26,9.7,15.96,0.66,87.71,2.92,81.34,12.78,143.89,7.76,16.95,-1.18,228.3,2.54,81.18,9.77,276.39,8.47,18.13,4,7.3,7.3,23,23,37,37,0.4,0.4,0.21026046418290584,,5.0,12.79,11.31,0.0493,97.0
npn_38477491,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2024,0.9861111111111112,292.0,10.0,Fall,2020,41.745537,-74.119392,41.7_-74.1,North America,,,,,,,open flower present,False,2024-10-18,9.59,20.87,0.4,10.44,1.49,68.48,12.49,32.12,11.69,23.14,0.4,10.89,0.78,68.73,13.6,93.68,14.69,29.2,0.4,43.18,1.44,74.1,12.1,290.69,18.86,33.56,0.4,262.58,2.92,74.0,15.81,1247.3,20.0,33.16,0,5.2,5.2,17,17,37,37,1.4,1.0,0.6430602484118427,0.6455369934688383,95.0,10.66,12.07,-0.047,292.0
npn_31343587,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2022,0.9583333333333334,275.0,10.0,Fall,2020,47.143215,-93.431,47.1_-93.4,North America,,,,,,,open flower present,False,2022-10-02,10.13,21.63,0.94,1.45,0.21,64.02,14.38,35.89,12.24,28.64,0.94,19.16,1.37,68.29,12.55,101.41,15.25,29.14,0.94,64.61,2.15,67.44,14.01,307.44,18.78,31.62,0.94,240.8,2.68,70.71,17.43,1240.05,14.88,30.68,0,5.5,5.5,13,13,54,54,1.2,0.6,0.2758793882926986,0.7841327299672883,388.0,11.33,13.06,-0.0577,275.0
npn_34827328,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2023,0.9722222222222222,273.0,9.0,Fall,2020,44.936382,-93.208626,44.9_-93.2,North America,,,,,,,open flower present,False,2023-09-30,18.2,26.11,13.73,77.84,11.12,86.39,8.23,92.39,18.71,30.6,8.96,84.39,6.03,75.73,11.94,191.96,19.69,37.55,7.08,98.02,3.27,67.26,14.3,440.72,21.59,39.26,7.08,256.64,2.85,64.97,19.0,1492.96,12.52,32.18,0,6.6,6.6,24,25,42,42,1.8,1.6,0.5038663459226521,0.5031894078113579,250.0,11.49,13.09,-0.0533,273.0
npn_44810325,Symphyotrichum ericoides,Asteraceae,Symphyotrichum,ericoides,White Heath Aster,2024,0.9861111111111112,319.0,11.0,Fall,2020,40.86039,-73.878471,40.9_-73.9,North America,,,,,,,open flower present,False,2024-11-14,10.7,22.11,0.46,5.94,0.85,60.28,10.71,40.59,12.54,26.42,0.46,5.96,0.43,64.64,10.66,106.25,12.8,28.67,0.46,6.63,0.22,64.96,12.02,234.82,17.11,33.45,0.46,111.1,1.23,70.28,14.83,1090.38,20.65,32.99,0,4.9,4.8,13,13,44,45,2.0,1.4,0.3940681714769425,0.41788032749577186,35.0,9.67,10.83,-0.0387,319.0
npn_31314276,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2022,0.9583333333333334,272.0,9.0,Fall,2020,47.143215,-93.431,47.1_-93.4,North America,,,,,,,open flower present,False,2022-09-29,9.68,17.05,0.94,17.93,2.56,69.06,12.72,32.74,13.54,28.64,0.94,54.25,3.88,73.74,11.21,119.56,16.15,30.79,0.94,63.97,2.13,67.41,14.95,334.55,18.94,31.62,0.94,246.85,2.74,71.0,17.87,1254.5,13.47,30.68,0,5.5,5.5,13,13,54,54,1.2,0.6,0.7841327299672883,0.7669649350009955,388.0,11.51,13.23,-0.0573,272.0
npn_12037539,Symphyotrichum novae-angliae,Asteraceae,Symphyotrichum,novae-angliae,New England Aster,2017,0.8888888888888888,275.0,10.0,Fall,2010,41.745537,-74.119392,41.7_-74.1,North America,,,,,,,open flower present,False,2017-10-02,18.18,33.07,4.91,2.13,0.3,67.51,15.97,92.23,19.89,33.07,4.91,2.76,0.2,68.72,16.44,208.42,18.58,33.07,4.91,61.05,2.04,73.45,15.57,407.31,20.13,33.07,4.91,274.42,3.05,75.01,18.09,1361.49,11.24,28.16,0,5.2,5.2,17,17,37,37,1.4,1.0,0.7930747482749645,0.7785635373979509,95.0,11.45,12.88,-0.0477,275.0
